Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-26,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-27,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-28,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-02-29,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-01,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-02,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-03,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-04,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-05,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-06,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-07,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-08,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
2020-03-09,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2
2020-03-10,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2
2020-03-11,,,,,,,,4,,,,,,,,,,,,,,,,1,,,5
2020-03-12,,,,,,,,4,,,,,,,,,,,,,,,,1,,,5
2020-03-13,,,,,,,,5,,,,,,,,,,,,,,,,1,,,6
2020-03-14,,,,,,,,5,,,,,,,,,,,,,,,,1,,,6
2020-03-15,,,,,,,,8,,,,,,,,,,,,,,,,1,,,9
2020-03-16,,,,,,,,9,,,,,,,,,,,,,,,,1,,,10
2020-03-17,,,,,,,,17,,,,,,,,,,,,,,,,1,,,18
2020-03-18,,,,,,,,17,,,,,,,,,,,,,,,,2,,,19
2020-03-19,3,,,,,,,18,,,,,,,,,,,,,,,,2,,,23
2020-03-20,2,,,,,,,21,,,,,,,,,,,,,,,,5,,,28
2020-03-21,,,,,,,,24,,,,,,,,,,,,,37,,,5,,,68
2020-03-22,,,,,,,,36,,,,,,,,,,,,,43,,,6,,,87
2020-03-23,2,,,,,,,41,,,,,6,,,,,,,,43,,,7,,,99
2020-03-24,2,,,,,,,41,,,,,6,,,,,,,,48,,,9,,,106
2020-03-25,5,,,,,,,48,,,,,7,,,,,,,,55,,,9,,,124
2020-03-26,9,,,,,,,48,,,,,7,,,,,,,,56,,,9,,32,161
2020-03-27,10,,,,,,,54,,,,,7,,,,,,,,51,,,14,,37,173
2020-03-28,,,,,13,,,54,,,,,8,,,,,,,,60,,,15,,42,202
2020-03-29,,,,,14,,,55,,,,,6,,,,,,,,59,,,14,,46,204
2020-03-30,23,,,17,16,,,54,,,,,6,,,,,,,,61,,,16,,47,240
2020-03-31,25,,,18,16,,,49,,,,,8,,,,,,,,67,,,18,,51,252
2020-04-01,27,,,21,17,,,58,,,,,8,,,,,,,,72,,,18,,54,275
2020-04-02,27,,,20,18,,,54,,,,,10,,,,,,,,73,,,21,,53,276
2020-04-03,26,,,26,18,,,58,,,,,9,,,,,,,,67,,,23,,57,284
2020-04-04,,,,28,17,,,51,,,,,9,,,,,,,,67,,,21,,59,278
2020-04-05,,,,25,17,,,50,,,,,8,,,,,,,,61,,,21,,59,267
2020-04-06,24,,,30,17,,,50,,,,,8,,,,,,,,62,,,20,,58,269
2020-04-07,25,,,26,17,,,48,,,,,5,,,,,,,,62,,,21,,60,264
2020-04-08,23,,,27,17,,,47,,,,,7,,,,,,,,64,,,23,,56,264
